Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link
"SSBP1","Single Stranded DNA Binding Protein 1","Protein Coding","39","GC07P148685","26.2301464080811","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SSBP1"
"NDUFA8","NADH:Ubiquinone Oxidoreductase Subunit A8","Protein Coding","42","GC09M122132","26.179557800293","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDUFA8"
"DNA2","DNA Replication Helicase/Nuclease 2","Protein Coding","40","GC10M068414","26.1271934509277","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DNA2"
"MIEF2","Mitochondrial Elongation Factor 2","Protein Coding","33","GC17P018262","26.0947151184082","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIEF2"
"AARS2","Alanyl-TRNA Synthetase 2, Mitochondrial","Protein Coding","42","GC06M066237","25.844030380249","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AARS2"
"FXN","Frataxin","Protein Coding","45","GC09P069035","25.7510433197021","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FXN"
"MFF","Mitochondrial Fission Factor","Protein Coding","37","GC02P227325","25.6927814483643","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MFF"
"FDX2","Ferredoxin 2","Protein Coding","26","GC19M010401","25.6054210662842","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FDX2"
"FARS2","Phenylalanyl-TRNA Synthetase 2, Mitochondrial","Protein Coding","42","GC06P005261","25.4496650695801","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FARS2"
"TRMT10C","TRNA Methyltransferase 10C, Mitochondrial RNase P Subunit","Protein Coding","34","GC03P101561","25.4103851318359","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRMT10C"
"PINK1","PTEN Induced Kinase 1","Protein Coding","45","GC01P020634","25.3726654052734","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PINK1"
"COX6A2","Cytochrome C Oxidase Subunit 6A2","Protein Coding","37","GC16M037237","25.3287887573242","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COX6A2"
"MT-TY","Mitochondrially Encoded TRNA-Tyr (UAU/C)","RNA Gene","11","GCMTM005828","25.264289855957","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-TY"
"MFN2","Mitofusin 2","Protein Coding","46","GC01P011980","25.2417869567871","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MFN2"
"ISCA1","Iron-Sulfur Cluster Assembly 1","Protein Coding","38","GC09M086264","24.9976177215576","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ISCA1"
"MT-TG","Mitochondrially Encoded TRNA-Gly (GGN)","RNA Gene","13","GCMTP009993","24.9892616271973","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-TG"
"TIMM22","Translocase Of Inner Mitochondrial Membrane 22","Protein Coding","36","GC17P000997","24.9546566009521","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TIMM22"
"COA6","Cytochrome C Oxidase Assembly Factor 6","Protein Coding","35","GC01P234374","24.8879928588867","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COA6"
"ISCA2","Iron-Sulfur Cluster Assembly 2","Protein Coding","39","GC14P074493","24.7551326751709","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ISCA2"
"PET117","PET117 Cytochrome C Oxidase Chaperone","Protein Coding","30","GC20P018119","24.7338180541992","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PET117"
"COX20","Cytochrome C Oxidase Assembly Factor COX20","Protein Coding","37","GC01P244839","24.4200706481934","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COX20"
"ERCC8","ERCC Excision Repair 8, CSA Ubiquitin Ligase Complex Subunit","Protein Coding","41","GC05M060894","24.200008392334","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERCC8"
"UQCC3","Ubiquinol-Cytochrome C Reductase Complex Assembly Factor 3","Protein Coding","30","GC11P062670","24.1850643157959","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UQCC3"
"LARS2","Leucyl-TRNA Synthetase 2, Mitochondrial","Protein Coding","43","GC03P046752","24.1839218139648","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LARS2"
"GFER","Growth Factor, Augmenter Of Liver Regeneration","Protein Coding","45","GC16P001984","24.0940036773682","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GFER"
"ISCU","Iron-Sulfur Cluster Assembly Enzyme","Protein Coding","44","GC12P108561","23.9903259277344","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ISCU"
"RARS2","Arginyl-TRNA Synthetase 2, Mitochondrial","Protein Coding","42","GC06M087514","23.9798679351807","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RARS2"
"MRPS25","Mitochondrial Ribosomal Protein S25","Protein Coding","38","GC03M020728","23.9491386413574","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MRPS25"
"SOD2","Superoxide Dismutase 2","Protein Coding","48","GC06M159669","23.5780467987061","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOD2"
"NFS1","NFS1 Cysteine Desulfurase","Protein Coding","45","GC20M035668","23.5495491027832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFS1"
"TIMM50","Translocase Of Inner Mitochondrial Membrane 50","Protein Coding","38","GC19P039480","23.5442161560059","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TIMM50"
"PNPT1","Polyribonucleotide Nucleotidyltransferase 1","Protein Coding","42","GC02M055634","23.4038028717041","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PNPT1"
"EARS2","Glutamyl-TRNA Synthetase 2, Mitochondrial","Protein Coding","41","GC16M023538","23.236421585083","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EARS2"
"PTCD3","Pentatricopeptide Repeat Domain 3","Protein Coding","37","GC02P086106","23.1559638977051","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTCD3"
"PUS1","Pseudouridine Synthase 1","Protein Coding","42","GC12P131929","23.0357093811035","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PUS1"
"NARS2","Asparaginyl-TRNA Synthetase 2, Mitochondrial","Protein Coding","42","GC11M078435","22.7289352416992","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NARS2"
"VDAC1","Voltage Dependent Anion Channel 1","Protein Coding","45","GC05M133975","22.7234172821045","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VDAC1"
"MRPS16","Mitochondrial Ribosomal Protein S16","Protein Coding","42","GC10M073248","22.4487781524658","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MRPS16"
"IMMT","Inner Membrane Mitochondrial Protein","Protein Coding","40","GC02M086144","22.3964157104492","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IMMT"
"SLC25A26","Solute Carrier Family 25 Member 26","Protein Coding","37","GC03P066120","22.3923263549805","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC25A26"
"LIG3","DNA Ligase 3","Protein Coding","45","GC17P034980","22.3599376678467","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LIG3"
"COX14","Cytochrome C Oxidase Assembly Factor COX14","Protein Coding","35","GC12P050118","22.333122253418","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COX14"
"CARS2","Cysteinyl-TRNA Synthetase 2, Mitochondrial","Protein Coding","41","GC13M110641","22.3118515014648","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CARS2"
"MRM2","Mitochondrial RRNA Methyltransferase 2","Protein Coding","30","GC07M002234","22.2779216766357","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MRM2"
"ATP5MK","ATP Synthase Membrane Subunit K","Protein Coding","28","GC10M103391","22.1647815704346","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP5MK"
"OXA1L","OXA1L Mitochondrial Inner Membrane Protein","Protein Coding","38","GC14P022766","22.0102558135986","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OXA1L"
"ACADVL","Acyl-CoA Dehydrogenase Very Long Chain","Protein Coding","44","GC17P007219","21.9772338867188","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACADVL"
"MT-TC","Mitochondrially Encoded TRNA-Cys (UGU/C)","RNA Gene","10","GCMTM005763","21.8970127105713","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-TC"
"RNASEH1","Ribonuclease H1","Protein Coding","43","GC02M003522","21.5520000457764","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNASEH1"
"PITRM1","Pitrilysin Metallopeptidase 1","Protein Coding","40","GC10M003138","21.5190048217773","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PITRM1"
"MRPS22","Mitochondrial Ribosomal Protein S22","Protein Coding","41","GC03P139005","21.515718460083","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MRPS22"
"SLC25A13","Solute Carrier Family 25 Member 13","Protein Coding","45","GC07M096120","21.3488159179688","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC25A13"
"TFB2M","Transcription Factor B2, Mitochondrial","Protein Coding","37","GC01M246540","21.2695579528809","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TFB2M"
"PRKN","Parkin RBR E3 Ubiquitin Protein Ligase","Protein Coding","37","GC06M161348","21.2135639190674","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKN"
"LONP1","Lon Peptidase 1, Mitochondrial","Protein Coding","45","GC19M005691","21.2083683013916","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LONP1"
"SLC25A21","Solute Carrier Family 25 Member 21","Protein Coding","42","GC14M036677","21.1310901641846","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC25A21"
"MRPS14","Mitochondrial Ribosomal Protein S14","Protein Coding","35","GC01M175010","21.0629177093506","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MRPS14"
"UCP2","Uncoupling Protein 2","Protein Coding","44","GC11M073974","21.0114498138428","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UCP2"
"CS","Citrate Synthase","Protein Coding","43","GC12M056271","20.9808387756348","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CS"
"TIMM8A","Translocase Of Inner Mitochondrial Membrane 8A","Protein Coding","41","GC0XM101345","20.9122314453125","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TIMM8A"
"CFAP92","Cilia And Flagella Associated Protein 92 (Putative)","Protein Coding","21","GC03M130351","20.91037940979","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CFAP92"
"DGUOK-AS1","DGUOK Antisense RNA 1","RNA Gene","17","GC02M073947","20.9006309509277","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DGUOK-AS1"
"PCK2","Phosphoenolpyruvate Carboxykinase 2, Mitochondrial","Protein Coding","45","GC14P024094","20.8101501464844","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCK2"
"RMND1","Required For Meiotic Nuclear Division 1 Homolog","Protein Coding","36","GC06M151404","20.7389335632324","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RMND1"
"RANBP2","RAN Binding Protein 2","Protein Coding","46","GC02P108719","20.6451263427734","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RANBP2"
"MRPS23","Mitochondrial Ribosomal Protein S23","Protein Coding","38","GC17M057834","20.5461978912354","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MRPS23"
"MRPS27","Mitochondrial Ribosomal Protein S27","Protein Coding","36","GC05M073589","20.4610824584961","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MRPS27"
"BCL2","BCL2 Apoptosis Regulator","Protein Coding","48","GC18M063123","20.4075813293457","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCL2"
"DARS2","Aspartyl-TRNA Synthetase 2, Mitochondrial","Protein Coding","41","GC01P173824","20.3272857666016","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DARS2"
"PNPLA8","Patatin Like Phospholipase Domain Containing 8","Protein Coding","42","GC07M108470","20.3042068481445","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PNPLA8"
"COA5","Cytochrome C Oxidase Assembly Factor 5","Protein Coding","35","GC02M098599","20.2371978759766","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COA5"
"TUFM","Tu Translation Elongation Factor, Mitochondrial","Protein Coding","45","GC16M036978","20.1480197906494","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TUFM"
"ACADM","Acyl-CoA Dehydrogenase Medium Chain","Protein Coding","44","GC01P075724","20.1360664367676","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACADM"
"CPT2","Carnitine Palmitoyltransferase 2","Protein Coding","48","GC01P053196","20.0581817626953","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CPT2"
"MTRFR","Mitochondrial Translation Release Factor In Rescue","Protein Coding","28","GC12P126254","19.874942779541","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTRFR"
"MRPL3","Mitochondrial Ribosomal Protein L3","Protein Coding","41","GC03M131462","19.6821231842041","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MRPL3"
"PDHA1","Pyruvate Dehydrogenase E1 Subunit Alpha 1","Protein Coding","45","GC0XP019343","19.6579837799072","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDHA1"
"UCP1","Uncoupling Protein 1","Protein Coding","42","GC04M140559","19.6359329223633","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UCP1"
"C1QBP","Complement C1q Binding Protein","Protein Coding","43","GC17M005432","19.5841903686523","https://www.genecards.org/cgi-bin/carddisp.pl?gene=C1QBP"
"HSPD1","Heat Shock Protein Family D (Hsp60) Member 1","Protein Coding","46","GC02M197486","19.4723491668701","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSPD1"
"COQ2","Coenzyme Q2, Polyprenyltransferase","Protein Coding","40","GC04M083261","19.4720916748047","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COQ2"
"UCP3","Uncoupling Protein 3","Protein Coding","41","GC11M074000","19.3174571990967","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UCP3"
"ACADS","Acyl-CoA Dehydrogenase Short Chain","Protein Coding","44","GC12P126187","19.2945537567139","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACADS"
"QRSL1","Glutaminyl-TRNA Amidotransferase Subunit QRSL1","Protein Coding","39","GC06P106629","19.2454166412354","https://www.genecards.org/cgi-bin/carddisp.pl?gene=QRSL1"
"MRPS7","Mitochondrial Ribosomal Protein S7","Protein Coding","38","GC17P075579","19.1889457702637","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MRPS7"
"TXN2","Thioredoxin 2","Protein Coding","43","GC22M036467","19.1303405761719","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TXN2"
"BAX","BCL2 Associated X, Apoptosis Regulator","Protein Coding","47","GC19P048954","19.1119728088379","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BAX"
"ALDH2","Aldehyde Dehydrogenase 2 Family Member","Protein Coding","49","GC12P111766","19.0555171966553","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALDH2"
"DLD","Dihydrolipoamide Dehydrogenase","Protein Coding","48","GC07P107890","19.0543403625488","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DLD"
"PMPCA","Peptidase, Mitochondrial Processing Subunit Alpha","Protein Coding","43","GC09P136410","19.0464954376221","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PMPCA"
"EDAR","Ectodysplasin A Receptor","Protein Coding","40","GC02M108894","18.9459457397461","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EDAR"
"HSPA9","Heat Shock Protein Family A (Hsp70) Member 9","Protein Coding","45","GC05M138554","18.9139671325684","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSPA9"
"MPC1","Mitochondrial Pyruvate Carrier 1","Protein Coding","40","GC06M166364","18.9133148193359","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MPC1"
"COX16","Cytochrome C Oxidase Assembly Factor COX16","Protein Coding","34","GC14M070326","18.8404979705811","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COX16"
"FIS1","Fission, Mitochondrial 1","Protein Coding","37","GC07M101239","18.7851982116699","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FIS1"
"TOP3A","DNA Topoisomerase III Alpha","Protein Coding","41","GC17M018271","18.7285461425781","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TOP3A"
"SIRT3","Sirtuin 3","Protein Coding","45","GC11M000215","18.5606422424316","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SIRT3"
"COQ8A","Coenzyme Q8A","Protein Coding","35","GC01P226939","18.4608840942383","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COQ8A"
"SLC25A12","Solute Carrier Family 25 Member 12","Protein Coding","45","GC02M171783","18.3096733093262","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC25A12"
"SLC25A20","Solute Carrier Family 25 Member 20","Protein Coding","44","GC03M048869","18.2406597137451","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC25A20"
"MRPS2","Mitochondrial Ribosomal Protein S2","Protein Coding","36","GC09P135499","18.1319179534912","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MRPS2"
"RAB33A","RAB33A, Member RAS Oncogene Family","Protein Coding","36","GC0XP130110","18.0297737121582","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAB33A"
"SLC25A24","Solute Carrier Family 25 Member 24","Protein Coding","42","GC01M108134","17.9753036499023","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC25A24"
"SLC25A15","Solute Carrier Family 25 Member 15","Protein Coding","42","GC13P040789","17.666955947876","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC25A15"
"ELAC2","ElaC Ribonuclease Z 2","Protein Coding","42","GC17M012991","17.6240367889404","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ELAC2"
"MRPS28","Mitochondrial Ribosomal Protein S28","Protein Coding","40","GC08M079942","17.6019325256348","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MRPS28"
"NSUN3","NOP2/Sun RNA Methyltransferase 3","Protein Coding","37","GC03P094062","17.4979915618896","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NSUN3"
"SLC25A5","Solute Carrier Family 25 Member 5","Protein Coding","42","GC0XP119468","17.4407234191895","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC25A5"
"MICU1","Mitochondrial Calcium Uptake 1","Protein Coding","40","GC10M072367","17.4280490875244","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MICU1"
"TP53","Tumor Protein P53","Protein Coding","50","GC17M007661","17.3686256408691","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TP53"
"TRIT1","TRNA Isopentenyltransferase 1","Protein Coding","41","GC01M039842","17.3012294769287","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRIT1"
"MTERF1","Mitochondrial Transcription Termination Factor 1","Protein Coding","33","GC07M091692","17.2887287139893","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTERF1"
"MARS2","Methionyl-TRNA Synthetase 2, Mitochondrial","Protein Coding","40","GC02P197705","17.2735977172852","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MARS2"
"GATC","Glutamyl-TRNA Amidotransferase Subunit C","Protein Coding","37","GC12P120446","17.2449531555176","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GATC"
"TOMM40","Translocase Of Outer Mitochondrial Membrane 40","Protein Coding","40","GC19P044890","17.207799911499","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TOMM40"
"COX5B","Cytochrome C Oxidase Subunit 5B","Protein Coding","40","GC02P097628","17.2040233612061","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COX5B"
"TARS2","Threonyl-TRNA Synthetase 2, Mitochondrial","Protein Coding","42","GC01P150568","17.1470108032227","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TARS2"
"TRMT5","TRNA Methyltransferase 5","Protein Coding","39","GC14M060971","17.139253616333","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRMT5"
"MRPL36","Mitochondrial Ribosomal Protein L36","Protein Coding","33","GC05M001799","17.125431060791","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MRPL36"
"PPARGC1A","PPARG Coactivator 1 Alpha","Protein Coding","44","GC04M023755","17.0913028717041","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPARGC1A"
"KARS1","Lysyl-TRNA Synthetase 1","Protein Coding","37","GC16M075750","17.0737228393555","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KARS1"
"FANCI","FA Complementation Group I","Protein Coding","40","GC15P089243","17.0641212463379","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FANCI"
